name,album,album_base,release_date,release_year,era,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_min,is_taylor_version,is_live,mood_tags,cluster,cluster_name
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),18,0.608,0.784,0.391,0.0,0.252,-9.471,0.0633,110.007,0.15,81,3.7012,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),19,0.655,0.352,0.479,0.0,0.0935,-8.942,0.0583,172.013,0.292,77,3.0646333333333335,False,False,"acoustic, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),20,0.78,0.516,0.451,0.0,0.105,-8.552,0.0446,70.266,0.218,77,3.554683333333333,False,False,"acoustic, melancholic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),21,0.785,0.492,0.379,0.00093,0.108,-8.859,0.0257,83.993,0.273,80,3.9784333333333333,False,False,"acoustic, low-energy, melancholic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),22,0.0274,0.366,0.866,3.07e-06,0.106,-4.514,0.0466,176.07,0.293,82,3.8133333333333335,False,False,"electronic/produced, high-energy, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),23,0.717,0.485,0.562,0.0,0.357,-7.197,0.0346,105.953,0.297,78,4.064583333333333,False,False,"acoustic, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),24,0.609,0.609,0.541,0.0,0.122,-8.013,0.0346,95.997,0.252,76,4.39695,False,False,"acoustic, melancholic",1.0,Cluster 1: 原声 · 忧郁
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),25,0.69,0.763,0.274,0.0,0.164,-11.429,0.0738,90.796,0.385,76,2.19845,False,False,"acoustic, low-energy, danceable",1.0,Cluster 1: 原声 · 忧郁
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),26,0.825,0.421,0.525,2.67e-06,0.308,-10.359,0.0472,167.927,0.535,81,4.16345,False,False,"acoustic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),27,0.806,0.587,0.587,0.0,0.137,-9.879,0.0595,139.963,0.514,76,4.003416666666666,False,False,"acoustic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),28,0.805,0.342,0.376,0.0,0.0593,-8.212,0.0372,176.859,0.29,77,4.732616666666667,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),29,0.638,0.455,0.586,0.0,0.131,-7.978,0.0492,183.694,0.481,77,3.970683333333333,False,False,"acoustic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),30,0.791,0.476,0.386,0.000423,0.1,-10.601,0.03,138.265,0.158,73,4.014883333333334,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,THE TORTURED POETS DEPARTMENT,2024-04-19,2024,Pop Rock (2022-),31,0.901,0.509,0.256,2.43e-06,0.103,-11.665,0.0306,94.184,0.436,74,3.7457166666666666,False,False,"acoustic, low-energy",1.0,Cluster 1: 原声 · 忧郁
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),1,0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,91,3.8160833333333333,False,False,"low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),2,0.0483,0.604,0.428,0.0,0.126,-8.441,0.0255,110.259,0.292,75,4.884133333333334,False,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),3,0.137,0.596,0.563,0.0,0.302,-7.362,0.0269,97.073,0.481,77,3.3966833333333333,False,False,electronic/produced,0.0,Cluster 0: 电子 · 高能量 · 忧郁
Down Bad,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),4,0.56,0.541,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,82,4.3538,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
"So Long, London",THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),5,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,78,4.3829,False,False,"acoustic, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),6,0.384,0.521,0.72,0.0,0.135,-7.684,0.104,79.943,0.438,78,5.6738,False,False,"high-energy, slow-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),7,0.624,0.33,0.483,0.0,0.111,-9.394,0.0399,87.115,0.34,69,3.51315,False,False,"acoustic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),8,0.178,0.533,0.573,0.0,0.309,-7.123,0.138,150.088,0.398,76,3.59105,False,False,"electronic/produced, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),9,0.607,0.626,0.428,0.0,0.0921,-8.374,0.0261,94.95,0.487,82,4.239416666666667,False,False,acoustic,1.0,Cluster 1: 原声 · 忧郁
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),10,0.315,0.606,0.338,0.0,0.106,-10.555,0.048,119.88,0.238,80,5.568066666666667,False,False,"low-energy, melancholic",1.0,Cluster 1: 原声 · 忧郁
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),11,0.768,0.661,0.257,1.72e-06,0.176,-13.961,0.045,106.896,0.318,67,2.60495,False,False,"acoustic, low-energy, danceable",1.0,Cluster 1: 原声 · 忧郁
loml,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),12,0.858,0.423,0.272,0.0,0.108,-12.56,0.0489,78.539,0.195,75,4.619266666666666,False,False,"acoustic, low-energy, melancholic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),13,0.123,0.701,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,88,3.6334,False,False,"electronic/produced, high-energy, danceable, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),14,0.52,0.426,0.41,0.0,0.338,-9.083,0.0581,142.377,0.263,74,4.09235,False,False,"melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
The Alchemy,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),15,0.422,0.64,0.421,0.0,0.103,-8.802,0.0273,100.056,0.353,73,3.2816666666666667,False,False,balanced,1.0,Cluster 1: 原声 · 忧郁
Clara Bow,THE TORTURED POETS DEPARTMENT,THE TORTURED POETS DEPARTMENT,2024-04-18,2024,Pop Rock (2022-),16,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,67,3.6110333333333333,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),1,0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,62,3.5433333333333334,True,False,"electronic/produced, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),2,0.0901,0.732,0.719,0.0,0.331,-5.469,0.0645,96.035,0.71,64,3.8638833333333333,True,False,"electronic/produced, high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),3,0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,65,3.85,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),4,0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,63,3.93,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),5,0.000778,0.589,0.713,0.0,0.188,-5.614,0.0308,97.069,0.54,62,3.2214833333333335,True,False,"electronic/produced, high-energy",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),6,0.0112,0.632,0.805,2.51e-05,0.156,-5.707,0.069,160.052,0.903,62,3.6534833333333334,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),7,0.00388,0.671,0.853,9.48e-06,0.0812,-6.568,0.0417,118.032,0.523,61,3.4608333333333334,True,False,"electronic/produced, high-energy, danceable",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),8,0.0369,0.624,0.711,3.13e-06,0.19,-6.347,0.159,169.999,0.347,61,3.5183833333333334,True,False,"electronic/produced, high-energy, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),9,0.0348,0.587,0.663,9.95e-05,0.0971,-7.439,0.0598,139.993,0.539,63,3.6738833333333334,True,False,"electronic/produced, high-energy, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),10,0.00198,0.761,0.67,1.08e-05,0.0873,-5.956,0.0537,120.014,0.519,61,4.12555,True,False,"electronic/produced, high-energy, danceable",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),11,0.302,0.47,0.494,0.0,0.0672,-8.672,0.0349,144.039,0.0524,60,4.168333333333333,True,False,"melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),12,0.0846,0.572,0.807,0.0,0.071,-5.348,0.0574,160.015,0.626,61,3.2616666666666667,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),13,0.297,0.782,0.379,2.98e-05,0.103,-8.964,0.0303,103.99,0.267,62,4.516666666666667,True,False,"low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],1989 TV,2023-10-27,2023,Pop Rock (2022-),14,0.0105,0.387,0.703,1.1e-05,0.128,-5.956,0.0545,123.18,0.32,61,4.092766666666667,True,False,"electronic/produced, high-energy",0.0,Cluster 0: 电子 · 高能量 · 忧郁
