name,album,album_base,release_date,release_year,era,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_min,is_taylor_version,is_live,mood_tags,cluster,cluster_name
Clean (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),13,0.297,0.782,0.379,2.98e-05,0.103,-8.964,0.0303,103.99,0.267,70,4.516666666666667,True,False,"low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Wonderland (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),14,0.0105,0.387,0.703,1.1e-05,0.128,-5.956,0.0545,123.18,0.32,67,4.092766666666667,True,False,"electronic/produced, high-energy",0.0,Cluster 0: 电子 · 高能量 · 忧郁
You Are In Love (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),15,0.572,0.554,0.509,2.08e-06,0.113,-9.403,0.0455,85.079,0.401,69,4.456483333333333,True,False,"acoustic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
New Romantics (Taylor's Version),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),16,0.00516,0.653,0.848,4.24e-06,0.0798,-5.936,0.0583,122.017,0.724,74,3.8362833333333333,True,False,"electronic/produced, high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),17,0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,77,3.00635,True,False,slow-tempo,1.0,Cluster 1: 原声 · 忧郁
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),18,0.0684,0.632,0.539,5.82e-06,0.132,-8.375,0.0342,109.962,0.186,73,4.663883333333334,True,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),19,0.16,0.8,0.509,3.05e-05,0.0834,-9.386,0.034,109.994,0.0768,77,2.4406,True,False,"electronic/produced, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),20,0.212,0.695,0.607,0.0,0.102,-8.84,0.0357,118.043,0.394,68,2.8636333333333335,True,False,danceable,4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),1989 TV,2023-10-26,2023,Pop Rock (2022-),21,0.0486,0.599,0.651,0.0,0.126,-7.343,0.035,100.001,0.153,78,3.8246166666666666,True,False,"electronic/produced, high-energy, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Mine (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),1,0.00314,0.647,0.793,1.93e-06,0.174,-2.903,0.0363,121.101,0.5,74,3.8617666666666666,True,False,"electronic/produced, high-energy",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),2,0.0241,0.605,0.769,0.0,0.0936,-2.413,0.032,114.921,0.366,72,4.353833333333333,True,False,"electronic/produced, high-energy",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Back To December (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),3,0.00705,0.486,0.635,0.0,0.119,-3.994,0.0278,141.868,0.235,74,4.90315,True,False,"electronic/produced, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Speak Now (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),4,0.225,0.734,0.686,0.0,0.136,-2.926,0.0349,119.002,0.598,69,4.041216666666666,True,False,"high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Dear John (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),5,0.0327,0.379,0.468,0.0,0.158,-5.07,0.0298,119.447,0.115,69,6.7651,True,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Mean (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),6,0.321,0.526,0.7,0.0,0.213,-3.95,0.0392,163.949,0.596,69,3.9782166666666665,True,False,"high-energy, bright, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),7,0.00136,0.516,0.784,0.0,0.0499,-2.636,0.0563,139.787,0.552,70,4.460883333333333,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),8,0.867,0.684,0.339,0.0,0.194,-7.259,0.029,125.054,0.572,65,4.882,True,False,"acoustic, low-energy, danceable, bright",1.0,Cluster 1: 原声 · 忧郁
Enchanted (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),9,0.016,0.52,0.553,0.0,0.165,-3.546,0.0269,81.949,0.227,80,5.88755,True,False,"electronic/produced, melancholic, slow-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),10,0.000795,0.505,0.893,0.0,0.178,-3.013,0.0771,145.913,0.659,71,3.6717666666666666,True,False,"electronic/produced, high-energy, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Innocent (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),11,0.0972,0.524,0.611,0.0,0.127,-5.298,0.0297,133.583,0.126,63,5.02035,True,False,"electronic/produced, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Haunted (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),12,0.00552,0.44,0.916,0.0,0.252,-1.927,0.0629,162.025,0.371,69,4.090216666666667,True,False,"electronic/produced, high-energy, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Last Kiss (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),13,0.443,0.557,0.362,3.57e-06,0.1,-8.641,0.0263,79.573,0.187,69,6.152,True,False,"low-energy, melancholic, slow-tempo",1.0,Cluster 1: 原声 · 忧郁
Long Live (Taylor's Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),14,0.0162,0.38,0.628,0.0,0.227,-4.054,0.038,203.826,0.0984,73,5.299333333333333,True,False,"electronic/produced, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Ours (Taylor’s Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),15,0.42,0.539,0.475,0.0,0.109,-8.411,0.0287,159.824,0.293,66,3.93005,True,False,"melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Superman (Taylor’s Version),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),16,0.00207,0.537,0.733,0.0,0.11,-3.506,0.0302,131.898,0.347,62,4.582416666666667,True,False,"electronic/produced, high-energy, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),17,0.018,0.547,0.854,0.0,0.156,-4.753,0.0526,131.068,0.26,68,4.4411,True,False,"electronic/produced, high-energy, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),18,0.168,0.524,0.759,0.0,0.104,-4.714,0.0471,77.879,0.234,66,4.206416666666667,True,False,"electronic/produced, high-energy, melancholic, slow-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),19,0.0577,0.695,0.768,0.0,0.0426,-4.883,0.0344,123.054,0.813,75,4.5531,True,False,"electronic/produced, high-energy, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),20,0.342,0.578,0.565,0.0,0.0662,-8.064,0.0441,147.781,0.351,67,5.1010333333333335,True,False,fast-tempo,1.0,Cluster 1: 原声 · 忧郁
Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),21,0.599,0.672,0.613,0.0,0.112,-4.709,0.0298,97.041,0.557,68,5.196083333333333,True,False,"acoustic, danceable, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Speak Now TV,2023-07-07,2023,Pop Rock (2022-),22,0.332,0.629,0.578,0.0,0.0868,-5.806,0.0319,142.887,0.651,69,5.3566,True,False,"bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Lavender Haze,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),1,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,63,3.37325,False,False,"danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Maroon,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),2,0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,64,3.6378333333333335,False,False,"electronic/produced, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Anti-Hero,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),3,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,63,3.3448333333333333,False,False,electronic/produced,4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),4,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,60,4.2687333333333335,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
"You're On Your Own, Kid",Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),5,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,64,3.2367666666666666,False,False,"low-energy, danceable",1.0,Cluster 1: 原声 · 忧郁
Midnight Rain,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),6,0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,63,2.9130333333333334,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Question...?,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),7,0.206,0.654,0.51,0.0,0.249,-8.767,0.242,108.874,0.105,61,3.5092666666666665,False,False,"danceable, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Vigilante Shit,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),8,0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,62,2.7466833333333334,False,False,"electronic/produced, low-energy, danceable, melancholic, slow-tempo",2.0,Cluster 2: 低能量 · 舞曲
Bejeweled,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),9,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,63,3.236083333333333,False,False,"electronic/produced, danceable, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Labyrinth,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),10,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,61,4.1327,False,False,"acoustic, low-energy, melancholic",3.0,Cluster 3: 原声 · 低能量 · 忧郁
Karma,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),11,0.062,0.64,0.619,0.0,0.475,-7.108,0.065,90.008,0.121,62,3.4142,False,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Sweet Nothing,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),12,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,60,3.1416,False,False,"acoustic, low-energy, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Mastermind,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),13,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,61,3.1839833333333334,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
The Great War,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),14,0.199,0.57,0.747,2.32e-05,0.0854,-8.93,0.0342,96.016,0.574,62,4.005916666666667,False,False,"high-energy, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),15,0.841,0.42,0.22,0.00131,0.114,-12.584,0.0472,165.564,0.0705,60,3.6417,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Paris,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),16,0.103,0.703,0.518,2.89e-05,0.148,-10.501,0.085,110.94,0.347,60,3.270966666666667,False,False,"electronic/produced, danceable",1.0,Cluster 1: 原声 · 忧郁
High Infidelity,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),17,0.704,0.571,0.547,0.0,0.0877,-10.141,0.101,175.933,0.768,59,3.8579166666666667,False,False,"acoustic, bright, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Glitch,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),18,0.314,0.677,0.47,0.0,0.11,-9.65,0.259,140.881,0.347,58,2.4796833333333335,False,False,"danceable, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
"Would've, Could've, Should've",Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),19,0.393,0.485,0.846,0.00115,0.124,-6.557,0.117,157.918,0.548,62,4.33935,False,False,"high-energy, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Dear Reader,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),20,0.464,0.674,0.39,0.00122,0.116,-11.944,0.0483,107.891,0.151,59,3.753233333333333,False,False,"low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Hits Different,Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),21,0.134,0.666,0.786,3.34e-06,0.265,-6.556,0.0439,106.02,0.261,72,3.907766666666667,False,False,"electronic/produced, high-energy, danceable, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Snow On The Beach (feat. More Lana Del Rey),Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),22,0.797,0.664,0.399,3.13e-06,0.105,-10.997,0.0349,109.937,0.265,73,3.8323666666666667,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),Midnights,2023-05-26,2023,Pop Rock (2022-),23,0.0574,0.615,0.626,0.0,0.596,-6.548,0.0778,89.984,0.0705,64,3.358216666666667,False,False,"electronic/produced, melancholic, slow-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Lavender Haze,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),1,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,61,3.37325,False,False,"danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Maroon,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),2,0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,61,3.6378333333333335,False,False,"electronic/produced, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Anti-Hero,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),3,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,62,3.3448333333333333,False,False,electronic/produced,4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),4,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,62,4.2687333333333335,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
"You're On Your Own, Kid",Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),5,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,62,3.2367666666666666,False,False,"low-energy, danceable",1.0,Cluster 1: 原声 · 忧郁
Midnight Rain,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),6,0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,61,2.9130333333333334,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Question...?,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),7,0.206,0.654,0.51,0.0,0.249,-8.767,0.242,108.874,0.105,58,3.5092666666666665,False,False,"danceable, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Vigilante Shit,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),8,0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,61,2.7466833333333334,False,False,"electronic/produced, low-energy, danceable, melancholic, slow-tempo",2.0,Cluster 2: 低能量 · 舞曲
Bejeweled,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),9,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,62,3.236083333333333,False,False,"electronic/produced, danceable, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Labyrinth,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),10,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,58,4.1327,False,False,"acoustic, low-energy, melancholic",3.0,Cluster 3: 原声 · 低能量 · 忧郁
Karma,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),11,0.062,0.64,0.619,0.0,0.475,-7.108,0.065,90.008,0.121,65,3.4142,False,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Sweet Nothing,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),12,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,60,3.1416,False,False,"acoustic, low-energy, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Mastermind,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),13,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,64,3.1839833333333334,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
The Great War,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),14,0.199,0.57,0.747,2.32e-05,0.0854,-8.93,0.0342,96.016,0.574,69,4.005916666666667,False,False,"high-energy, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Bigger Than The Whole Sky,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),15,0.841,0.42,0.22,0.00131,0.114,-12.584,0.0472,165.564,0.0705,66,3.6417,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Paris,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),16,0.103,0.703,0.518,2.89e-05,0.148,-10.501,0.085,110.94,0.347,66,3.270966666666667,False,False,"electronic/produced, danceable",1.0,Cluster 1: 原声 · 忧郁
High Infidelity,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),17,0.704,0.571,0.547,0.0,0.0877,-10.141,0.101,175.933,0.768,64,3.8579166666666667,False,False,"acoustic, bright, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Glitch,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),18,0.314,0.677,0.47,0.0,0.11,-9.65,0.259,140.881,0.347,63,2.4796833333333335,False,False,"danceable, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
"Would've, Could've, Should've",Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),19,0.393,0.485,0.846,0.00115,0.124,-6.557,0.117,157.918,0.548,68,4.33935,False,False,"high-energy, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Dear Reader,Midnights (3am Edition),Midnights,2022-10-22,2022,Pop Rock (2022-),20,0.464,0.674,0.39,0.00122,0.116,-11.944,0.0483,107.891,0.151,64,3.753233333333333,False,False,"low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Lavender Haze,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),1,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,3.37325,False,False,"danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Maroon,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),2,0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,72,3.6378333333333335,False,False,"electronic/produced, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
Anti-Hero,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),3,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,85,3.3448333333333333,False,False,electronic/produced,4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Snow On The Beach (feat. Lana Del Rey),Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),4,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,69,4.2687333333333335,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
"You're On Your Own, Kid",Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),5,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,77,3.2367666666666666,False,False,"low-energy, danceable",1.0,Cluster 1: 原声 · 忧郁
Midnight Rain,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),6,0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,76,2.9130333333333334,False,False,"acoustic, low-energy, melancholic, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Question...?,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),7,0.206,0.654,0.51,0.0,0.249,-8.767,0.242,108.874,0.105,66,3.5092666666666665,False,False,"danceable, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Vigilante Shit,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),8,0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,74,2.7466833333333334,False,False,"electronic/produced, low-energy, danceable, melancholic, slow-tempo",2.0,Cluster 2: 低能量 · 舞曲
Bejeweled,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),9,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,3.236083333333333,False,False,"electronic/produced, danceable, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Labyrinth,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),10,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,4.1327,False,False,"acoustic, low-energy, melancholic",3.0,Cluster 3: 原声 · 低能量 · 忧郁
Karma,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),11,0.062,0.64,0.619,0.0,0.475,-7.108,0.065,90.008,0.121,80,3.4142,False,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Sweet Nothing,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),12,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,3.1416,False,False,"acoustic, low-energy, fast-tempo",1.0,Cluster 1: 原声 · 忧郁
Mastermind,Midnights,Midnights,2022-10-21,2022,Pop Rock (2022-),13,0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,72,3.1839833333333334,False,False,"acoustic, low-energy, danceable, melancholic",1.0,Cluster 1: 原声 · 忧郁
State Of Grace (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),1,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,65,4.92355,True,False,"electronic/produced, high-energy",0.0,Cluster 0: 电子 · 高能量 · 忧郁
Red (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),2,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,73,3.7182166666666667,True,False,"electronic/produced, high-energy",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
Treacherous (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),3,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,65,4.045333333333334,True,False,"electronic/produced, melancholic",0.0,Cluster 0: 电子 · 高能量 · 忧郁
I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),4,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,76,3.6626666666666665,True,False,"electronic/produced, bright, fast-tempo",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
All Too Well (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),5,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,71,5.486,True,False,"electronic/produced, melancholic, fast-tempo",0.0,Cluster 0: 电子 · 高能量 · 忧郁
22 (Taylor's Version),Red (Taylor's Version),Red TV,2021-11-12,2021,Pop Rock (2022-),6,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,76,3.8493333333333335,True,False,"electronic/produced, high-energy, bright",4.0,Cluster 4: 电子 · 高能量 · 舞曲 · 欢快
